branch,commits_ahead,files,superseded_files,superseded_pct,age_days,last_subject
origin/agent/chatgpt-local-reconcile-apparently-a2f314acdd4a,3,6,0,0.0,7,"docs(recovery-ledgers): run notes for a2f314acdd4a — why the reconciler never finished, an"
origin/agent/dropbox-prompt-smarter-capability-bridge-group-1-mirror-from-smarter,2,7,0,0.0,7,agent: dropbox-prompt-smarter-capability-bridge-group-1-mirror-from-smarter
origin/agent/adjudicate-e3e1-hive-entity-relationship,1,2,0,0.0,6,"recover(gaming-enablement): support-relationship source, at a path that does not collide"
origin/agent/apparently-followup-relocate-nested-racefeed-worktree,1,1,0,0.0,6,chore(hygiene): relocate the nested racefeed-wt/ worktree out of the apparently tree
origin/agent/apparently-followup-unwired-review-passes-ratchet-test,1,1,0,0.0,6,agent: apparently-followup-unwired-review-passes-ratchet-test
origin/agent/chatgpt-local-reconcile-apparently-45ad3511beea,1,1,0,0.0,7,agent: chatgpt-local-reconcile-apparently-45ad3511beea
origin/agent/chatgpt-local-reconcile-apparently-a247e9203406,1,2,0,0.0,6,agent: chatgpt-local-reconcile-apparently-a247e9203406 — 419/419 evidence items classified
origin/agent/chatgpt-local-reconcile-apparently-a83f1ae61092,1,1,0,0.0,6,agent: chatgpt-local-reconcile-apparently-a83f1ae61092
origin/agent/chatgpt-local-reconcile-apparently-a9a36f735dd4,1,6,0,0.0,7,agent: chatgpt-local-reconcile-apparently-a9a36f735dd4
origin/agent/chatgpt-local-reconcile-apparently-aa57938d532f,1,2,0,0.0,6,agent: chatgpt-local-reconcile-apparently-aa57938d532f — 420/420 evidence items classified
origin/agent/chatgpt-local-reconcile-apparently-f2a260545d27,1,2,0,0.0,13,agent: chatgpt-local-reconcile-apparently-f2a260545d27
origin/agent/chatgpt-local-reconcile-smarter-0217b18e9390-mirror-from-smarter,1,2,0,0.0,6,agent: chatgpt-local-reconcile-smarter-0217b18e9390-mirror-from-smarter
origin/agent/chatgpt-local-reconcile-smarter-14b86f01709c-mirror-from-smarter,1,2,0,0.0,6,agent: chatgpt-local-reconcile-smarter-14b86f01709c-mirror-from-smarter
origin/agent/chatgpt-local-reconcile-smarter-1a7ea8205196-mirror-from-smarter,1,2,0,0.0,6,agent: chatgpt-local-reconcile-smarter-1a7ea8205196-mirror-from-smarter
origin/agent/chatgpt-local-reconcile-smarter-24cb02fba3d6-mirror-from-smarter,1,4,0,0.0,6,agent: recover 4 orphaned supabase migrations from refs/orch-rescue
origin/agent/chatgpt-local-reconcile-smarter-3c3a1943233a-mirror-from-smarter,1,2,0,0.0,6,agent: chatgpt-local-reconcile-smarter-3c3a1943233a-mirror-from-smarter
origin/agent/chatgpt-local-reconcile-smarter-4862358243f1-mirror-from-smarter,1,2,0,0.0,6,agent: chatgpt-local-reconcile-smarter-4862358243f1-mirror-from-smarter
